prices,product_id,product_description,color,department,sub_department,product_type
499.00,452715781,Plain knit cardigan made of cashmere and wool. Featuring a round neck and long sleeve. Ribbed trims. Front button fastening.,Grey,WOMAN,,
189.00,468375862,Flowy top with an asymmetric neckline and wide sleeves.,Aubergine,WOMAN,,
219.00,452725204,Top made of 100% wool. Featuring a round neck and short sleeves.,Navy blue,WOMAN,,
269.00,452715107,Mesh ballerina shoes. Studded top. Round toe.  Sole height: 1 cm / 0.4″,Black,WOMAN,,
189.00,466240032,Loose-fitting round neck top with short sleeves.,Grey marl,WOMAN,,
169.00,466240781,Skirt with an elasticated waistband.,Grey marl,WOMAN,,
169.00,453423019,"Round neck, long sleeve sweater finished with buttons.",Butter,WOMAN,,
219.00,468340498,Cardigan with a peter pan collar and long sleeves. Featuring contrasting wavy trims and front button fastening.,Navy blue,WOMAN,,
149.00,462228240,"Round neck, sleeveless top. Featuring contrasting colour trim details. Button-up fastening at the front.",Blue,WOMAN,,
699.00,452692909,Long printed dress with a round neckline and thin adjustable straps. Featuring a low-cut back and an adjustable crossover strap with a bow. Contrasting bead appliqué. Inner lining.,Multicoloured,WOMAN,,
749.00,457838024,Midi dress with a flowing neckline and thin straps. Matching bead appliqué detail. Inner lining.,Black,WOMAN,,
189.00,452740011,Underwired bra in soft lace fabric. Sweetheart neckline and thin adjustable straps. Back fastening with metal hooks.,Oyster-white,WOMAN,,
149.00,452740000,Thong made in soft lace fabric. Mid-rise and elasticated waist.,Oyster-white,WOMAN,,
219.00,452714309,Bralette with a straight neckline and thin straps. Features marked seams. Fastens at the back with metal hooks.,Burgundy,WOMAN,,
149.00,452714295,Plain faux leather bandana.,Burgundy,WOMAN,,
189.00,452695557,Printed bandanna with contrasting bead appliqué.,Multicoloured,WOMAN,,
219.00,452714303,Corset-style belt with marked seam detail. Front fastening with metal hooks.,Burgundy,WOMAN,,
229.00,457201557,Slingback heeled shoes. Buckled strap detail on the front. Stiletto heel. Pointed toe. Elasticated back strap. Heel height: 4 cm. / 1.5″,Khaki Green,WOMAN,,
169.00,465257867,Triangle bralette in soft lace fabric. Wide straps. Fastens at the back with metal hooks.,Black,WOMAN,,
119.00,465257861,Thong in soft lace fabric. Medium rise and elasticated waist.,Black,WOMAN,,
299.00,454387670,"Mid-waist mini skirt with fringed detail, a matching lining and an invisible side zip fastening.",Pale pink,WOMAN,,
299.00,455926610,Adjustable halter neck top with tie fastening. Fringed detail. Matching inner lining. Zip fastening at the back.,Pale pink,WOMAN,,
369.00,455406338,Short dress with a straight neckline and off-the-shoulder design. Featuring fringe detail and matching lining. Back hidden zip fastening and metal hook-and-eye closure.,Beige-pink,WOMAN,,
369.00,455406347,Short halterneck dress with adjustable tie fastening and a V-neck. Featuring fringing detail and a matching inner lining. Back fastening with concealed in-seam zip and metal hook.,Pale pink,WOMAN,,
129.00,470214976,Bodysuit with an asymmetric neckline and one-shoulder design. Draped fabric. Snap-button fastening at the bottom.,Dark brown,WOMAN,,
149.00,472924074,High-waist shorts with concealed side zip fastening.,Black,WOMAN,,
219.00,463654566,Shirt with a Peter Pan collar and matching embroidered details. Featuring puff sleeves and a button-up front with keyhole detail.,White,WOMAN,,
129.00,453999043,Ribbed T-shirt. Peter Pan collar in a matching colour with ruffles and embroidery. V-neck and sleeveless design.,White,WOMAN,,
429.00,463985208,"Round neck, long sleeve blazer with shoulder pads. Featuring a contrasting detachable collar appliqué detail, front welt pockets, a matching inner lining and front button fastening.",Black,WOMAN,,
369.00,462999028,Round neck blazer with long sleeves and shoulder pads. Welt pockets at the front. Matching lining. Front button fastening.,Black,WOMAN,,
499.00,462536613,ZARA WOMAN COLLECTION Padded jacket with a round neck and long sleeves. Patch pockets with flaps on the front. Elasticated puff hem. Front zip fastening hidden by a placket.,Brown,WOMAN,,
269.00,457444590,Flat loafer shoes. Gathered detail on the front and vamp. Wide sole. Round toe.  Sole height: 3.5 cm / 1.3″,Burgundy Red,WOMAN,,
219.00,464747122,ZARA WOMAN COLLECTION Pyjama-style trousers made from a lyocell blend yarn. Mid-rise with an elasticated drawstring waist. In-seam side pockets. Straight leg.,Chocolate brown,WOMAN,,
269.00,464914069,ZARA WOMAN COLLECTION Shirt made of a lyocell blend yarn. Lapel collar and long sleeve finished in a cuff. Straight hem. Button-up front.,Chocolate brown,WOMAN,,
269.00,457153042,ZARA WOMAN COLLECTION V-neck camisole top with thin straps. Featuring matching lace appliqué detail and an asymmetric hem.,Yellow,WOMAN,,
429.00,471892521,ZARA WOMAN COLLECTION Flowing halter neck dress with open shoulders. Knot detail on the back. Hem in contrasting combined fabric. Concealed zip fastening in the seam.,Black,WOMAN,,
129.00,470175662,Articulated metal bracelet with inlaid resin stones in colour.,Golden,WOMAN,,
299.00,452727643,ZARA WOMAN COLLECTION Shirt made from 100% cotton yarn. Round neck with matching overlay fabric and embroidered detailing. Long sleeves with elasticated cuffs. Front fastening with hidden buttons.,Oyster-white,WOMAN,,
219.00,472148417,ZARA WOMAN COLLECTION Shirt made from a yarn with a lyocell blend. Round neck and long sleeve finished with a cuff. Asymmetric hem with side vents. Button-up front.,Charcoal grey,WOMAN,,
299.00,453995804,ZARA WOMAN COLLECTION Trousers crafted from a lyocell-blend knit. Mid-rise with an elasticated drawstring waist. Wide leg.,Charcoal grey,WOMAN,,
219.00,477858173,ZARA WOMAN COLLECTION Top crafted from a spun lyocell blend. Round neckline. Open back.,Black,WOMAN,,
299.00,472391579,ZARA WOMAN COLLECTION Skirt made in a technical-type fabric. Mid-rise waist with an elasticated waistband. Flared hem.,Black,WOMAN,,
429.00,467645523,ZARA WOMAN COLLECTION Short jacket with a lapel collar and long sleeves that can be adjusted with elasticated cords and stoppers. Front in-seam pockets. Hem that can be adjusted with elasticated cords and stoppers. Metal zip-up fastening at the front.,Black,WOMAN,,
299.00,459136486,ZARA WOMAN COLLECTION Short dress made from cotton yarn. Lapel collar and v-neck with short sleeve. Side in-seam pockets. Straight hem finished in an A-line.,White,WOMAN,,
149.00,452987544,Top with a round neck and short sleeves.,Black,WOMAN,,
599.00,452703313,Split suede heeled boots. High leg. Topstitching on the top. Easy to pull on. Kitten heel. Pointed toe.  Heel height: 8 cm. / 3.1″,Olive Green,WOMAN,,
169.00,457293327,Fitted cardigan with a round neck and long sleeves. Front button fastening.,Brown,WOMAN,,
429.00,452720912,ZARA WOMAN COLLECTION Short trench coat made from a cotton-blend yarn. Notched lapel collar adjustable with a tab and buttons. Long sleeves. Front pockets. Tab detail on the shoulders. Double-breasted button fastening at the front.,Light beige,WOMAN,,
189.00,470561491,2.5 cm wide leather belt. Multi-position buckle detail.,Dark red,WOMAN,,
299.00,456838100,ZARA WOMAN COLLECTION Low-rise jeans with belt loops. Five pockets. Faded effect. Turn-up hems. Front zip and button fastening.,Blue,WOMAN,,
269.00,477314257,"ZARA WOMAN COLLECTION Low-rise denim Bermuda shorts with belt loops. Five pockets. Contrasting adjustable belt with tie fastening. Front zip, button and metal hook fastening.",Blue,WOMAN,,
169.00,470326199,Pack of two necklaces in different lengths with metal links. Featuring embedded colourful stone pendants and a lobster clasp fastening.,Golden,WOMAN,,
219.00,476714939,V-neck blouse with drawstring and beading and long sleeves. Featuring matching ladder stitch trim.,Light blue,WOMAN,,
269.00,471256336,"High-waist trousers with front pockets. Wide leg. Front fastening with zip, inside button and hook.",MARSALA,WOMAN,,
169.00,470562386,Necklace with a combination of multiple metal links and circular pieces made of coloured resin. Pendant with a carved piece with a bird in relief. Finished with metal fringing. Lobster clasp fastening.,Golden,WOMAN,,
219.00,452701047,HIGH-WAIST - STRAIGHT FIT - WASHED EFFECT High-waist jeans with front pockets and patch pockets on the back. Straight leg. Front zip and button fastening.,Blue / Green,WOMAN,,
219.00,464748453,"High neck, long sleeve cardigan. Featuring ruffle trim detailing and button-up front.",Brown,WOMAN,,
429.00,471885344,Midi dress with a round neck and long sleeves. Matching ladder stitch detail. Belt with metal buckle. Inner lining. Hem finished with ruffles.,Butter,WOMAN,,
219.00,461068580,"MID-WAIST - STRAIGHT LOOSE Mid-waist jeans with five pockets. Straight, loose leg. Front zip and button fastening.",Blue,WOMAN,,
189.00,455950175,"V-neck, long sleeve blouse. Featuring gathered fabric, entredeux lace trim and dotted mesh detailing. Button-up front.",White,WOMAN,,
189.00,472010229,Round neck blouse with short puff sleeves. Features tonal pintuck and ladder stitch detail. Front fastening with hidden buttons under a placket.,Ecru,WOMAN,,
