prices,product id,product description,color,pdp_url,department,sub department,product type
219.00,454116627,Bomber jacket made of soft-touch fabric. Lapel collar and long sleeves. Front welt pockets and elasticated hem. Front metal zip fastening.,Ecru,https://www.stradivarius.com/ae/softtouch-bomber-jacket-l05708802,,,
189.00,454054976,"Cropped sweatshirt with long sleeves, an adjustable drawstring hood and a fitted ribbed hem. Available in several colours.","Dark blue,Ecru,Brown,Purple",https://www.stradivarius.com/ae/zipup-hoodie-l06541393,,,
75.00,454054951,,Gold,https://www.stradivarius.com/ae/set-of-3-moon-and-sun-necklaces-l03183911,,,
189.00,453940260,"Mid-rise trousers with belt loops. Side pockets. Front darts. Straight, wide-leg design. Crossover front fastening with zip and inside button.",0-526,https://www.stradivarius.com/ae/casual-smart-trousers-with-crossover-waist-l04541792,,,
219.00,453925788,"Mid-rise casual smart trousers with darts and buttons on the front. Straight, flowing leg. Metal hook, inside button and zip fastening at the front.",Brown,https://www.stradivarius.com/ae/checked-smart-trousers-with-darts-l04550258,,,
269.00,453899912,High-waist midi skirt with matching fabric detail. Loose-fitting hem. Front zip fly and snap-button fastening. Available in several colours.,"Brown,Vanilla",https://www.stradivarius.com/ae/loosefitting-contrast-midi-skirt-l01333545,,,
169.00,453899905,"Slim fit trousers made of a viscose blend stretch fabric for greater comfort and mobility. Mid-rise with an elasticated waistband, straight fitted leg and invisible side zip fastening.",Purple,https://www.stradivarius.com/ae/slim-fit-trousers-l04539788,,,
119.00,453402450,,Brown,https://www.stradivarius.com/ae/crossbody-bag-with-metal-fastening-l03647901,,,
299.00,453402447,,Caramel,https://www.stradivarius.com/ae/maxi-bag-with-pockets-l03650901,,,
169.00,453402446,,Black,https://www.stradivarius.com/ae/handbag-with-fringe-and-a-braided-handle-l03652901,,,
169.00,453402444,,Caramel,https://www.stradivarius.com/ae/crossbody-bag-with-braided-strap-l03653901,,,
169.00,453402415,Mid-waist mini skort with belt loops. Contrast detachable belt with metal buckle. Invisible side zip fastening. Shorts-style lining.,Brown,https://www.stradivarius.com/ae/smart-skort-with-belt-l04777779,,,
