prices,product id,product description,color,department,sub department,product type
99.00,467341343,T-shirt made of cotton. Round neck and short sleeves. Raised print with A velvety effect on the front.,Ecru,,,
219.00,467512000,"Mid-rise wide-leg trousers made of a modal blend fabric for a very soft feel. Featuring an elasticated waistband and side pockets. Contrast side trims and side vents at the hems. Straight, wide-leg design.",0-526,,,
149.00,467341338,High-stretch ankle-length leggings that provide comfort without restricting movement. High waist and elastic waistband. Available in several colours.,Navy blue,,,
75.00,467341346,Fitted short sleeve T-shirt with a round neck. Available in several colours.,0-526,,,
299.00,467511992,Puffer jacket with a high neck and long sleeves. Front pockets. Adjustable drawstring hem. Zip-up front hidden by a snap-button placket. Available in several colours.,Pale camel,,,
75.00,467341361,Fitted short sleeve T-shirt with a round neck. Available in several colours.,0-526,,,
199.00,467341348,Mid-rise joggers made of a modal blend fabric with a very soft feel. Featuring an elastic waistband with adjustable drawstrings. Wide-leg design and elastic cuffed hems. Available in several colours.,Brown,,,
199.00,454055048,Mid-rise joggers made of a modal blend fabric with a very soft feel. Featuring an elastic waistband with adjustable drawstrings. Wide-leg design and elastic cuffed hems. Available in several colours.,Brown,,,
199.00,454055049,Mid-rise joggers made of a modal blend fabric with a very soft feel. Featuring an elastic waistband with adjustable drawstrings. Wide-leg design and elastic cuffed hems. Available in several colours.,Brown,,,
45.00,467511993,Available in several colours.,Purple,,,
99.00,467341332,"Fitted T-shirt with an asymmetric neckline, long sleeves and exposed shoulders. Available in several colours.",Brown,,,
99.00,467341341,"Fitted T-shirt with an asymmetric neckline, long sleeves and exposed shoulders. Available in several colours.",Brown,,,
269.00,454055041,Jacket with a high neck and long cuffed sleeves. Featuring front patch pockets with side vents for the hands. Front metal zip and snap-button fastening hidden by a placket. Available in several colours.,0-526,,,
269.00,467512003,Jacket with a high neck and long cuffed sleeves. Featuring front patch pockets with side vents for the hands. Front metal zip and snap-button fastening hidden by a placket. Available in several colours.,0-526,,,
269.00,467511989,Jacket with a high neck and long cuffed sleeves. Featuring front patch pockets with side vents for the hands. Front metal zip and snap-button fastening hidden by a placket. Available in several colours.,0-526,,,
149.00,467341340,High-stretch ankle-length leggings that provide comfort without restricting movement. High waist and elastic waistband. Available in several colours.,Navy blue,,,
129.00,467341336,Available in several colours.,Purple,,,
149.00,467341339,High-waist skort with an elastic waistband. Fitted waist and flowing hem. Available in several colours.,Brown,,,
169.00,467341334,Boat neck sweatshirt featuring long sleeves with cuffs and exposed shoulders. Print detail. Ribbed trims. Available in several colours.,0-526,,,
169.00,467341344,Boat neck sweatshirt featuring long sleeves with cuffs and exposed shoulders. Print detail. Ribbed trims. Available in several colours.,0-526,,,
269.00,467512001,Jacket with a high neck and long cuffed sleeves. Featuring front patch pockets with side vents for the hands. Front metal zip and snap-button fastening hidden by a placket. Available in several colours.,0-526,,,
119.00,467511998,Mid-rise skort made of a cotton elastane blend with an elasticated waistband. Available in several colours.,Brown,,,
59.00,467511994,Fitted top with a round neck and thin adjustable straps. Available in several colours.,Brown,,,
189.00,467511974,Women’s soft “bamba”-style sneakers. Reinforced detail at the back. Lace-up fastening. Available in black. Sole height: 2 cm. The insole uses Ortholite® technology. This system provides very useful performance for footwear that inserts them. Made of polyurethane and rubber for excellent resistance and breathability.,BLACK ,,,
189.00,467341347,"Mid-rise joggers made of a modal blend fabric for an extra soft feel. Featuring an elasticated waistband, a straight-leg design and a seam detail on the front. Available in assorted colours.",Dark blue,,,
75.00,467341359,,Purple,,,
129.00,467511991,Available in several colours.,Purple,,,
99.00,467511999,"Fitted T-shirt with an asymmetric neckline, long sleeves and exposed shoulders. Available in several colours.",Brown,,,
219.00,467341333,Cotton hooded sweatshirt. Round neck with an adjustable drawstring hood and long cuffed sleeves. Side pockets. Slogan print on the back. Puff hem. Zip-up front.,Purple,,,
149.00,467511995,Available in several colours.,Black,,,
75.00,453278189,Fitted short sleeve T-shirt with a round neck. Available in several colours.,0-526,,,
